thisN,thisTrialN,thisRepN,block_start_key_resp.keys,block_start_key_resp.rt,block_start_key_resp.duration,es_gradcpt_slider.response,es_gradcpt_slider.rt,es_gradcpt_key_resp.keys,es_gradcpt_key_resp.rt,es_gradcpt_key_resp.duration,block_rest_key_resp.keys,block_rest_key_resp.rt,block_rest_key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ES_loop.thisRepN,ES_loop.thisTrialN,ES_loop.thisN,ES_loop.thisIndex,thisRow.t,notes,estimate_frame_rate.started,frame_rate_prompt.started,estimate_frame_rate.stopped,welcome.started,welcome_key_resp.started,welcome_text.started,welcome.stopped,welcome_key_resp.keys,welcome_key_resp.rt,welcome_key_resp.duration,gradcpt_prep.started,gradcpt_prep_text.started,key_resp.started,gradcpt_prep.stopped,key_resp.keys,key_resp.rt,key_resp.duration,block_start.started,black_start_text.started,block_start_key_resp.started,block_start.stopped,blocks.block_start_key_resp.keys,blocks.block_start_key_resp.rt,blocks.block_start_key_resp.duration,prepare_block.started,prepare_block_text.started,prepare_block.stopped,gradcpt_stim.started,gradcpt_image.started,gradcpt_stim.stopped,ES_gradcpt.started,es_text_component_gradcpt.started,es_gradcpt_slider.started,low_anchor_gradcpt.started,es_gradcpt_mouse.started,high_anchor_gradcpt.started,es_gradcpt_key_resp.started,enter_advance_gradcpt.started,ES_gradcpt.stopped,ES_loop.es_gradcpt_slider.response,ES_loop.es_gradcpt_slider.rt,ES_loop.es_gradcpt_key_resp.keys,ES_loop.es_gradcpt_key_resp.rt,ES_loop.es_gradcpt_key_resp.duration,ES_isi_gradcpt.started,es_gradcpt_isi_text.started,es_gradcpt_isi_text.stopped,ES_isi_gradcpt.stopped,prepare_trial.started,prepare_text.started,prepare_trial.stopped,block_rest.started,block_rest_text.started,block_rest_key_resp.started,block_rest.stopped,blocks.block_rest_key_resp.keys,blocks.block_rest_key_resp.rt,blocks.block_rest_key_resp.duration,debrief.started,debrief_text.started,debrief_resp.started,debrief.stopped,debrief_resp.keys,debrief_resp.rt,debrief_resp.duration,Thanks.started,thanks_text.started,Thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012917799991555512,0.026275200012605637,5.014443399966694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212124,001,2024-09-13_11h31.20.219,gradcptpy,2024.2.1post4,59.99646020983193,2024-09-13 11h31.25.256712 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.014680899970699,5.027702999999747,5.027702999999747,9.940428100002464,space,4.899720299988985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212124,001,2024-09-13_11h31.20.219,gradcptpy,2024.2.1post4,59.99646020983193,2024-09-13 11h31.25.256712 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.969150399963837,9.982541600009426,9.982541600009426,10.37092199997278,space,0.3837414000299759,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212124,001,2024-09-13_11h31.20.219,gradcptpy,2024.2.1post4,59.99646020983193,2024-09-13 11h31.25.256712 -0400,
0,0,0,space,0.686361100000795,None,0.6066666666666667,2.8671497000032105,return,0.41942270001163706,None,,,,0,0,0,0,0,0,0,0,0,0,0,0,48.87477039999794,,,,,,,,,,,,,,,,,,,10.383174200018402,10.399787099973764,10.399787099973764,11.087987000006251,space,0.686361100000795,None,11.124090199999046,11.1504050999647,16.12597900000401,16.127283399982844,16.140108199964743,48.838801399979275,48.854653500020504,48.87477039999794,48.87477039999794,48.87477039999794,0.015870499948505312,48.87477039999794,51.747088000003714,51.747088000003714,52.168194799975026,0.6066666666666667,2.8671497000032105,return,0.41942270001163706,None,52.168429300014395,52.17829630000051,52.69498219998786,52.66586720000487,,,,,,,,,,,,,,,,,,,,,212124,001,2024-09-13_11h31.20.219,gradcptpy,2024.2.1post4,59.99646020983193,2024-09-13 11h31.25.256712 -0400,
1,0,1,space,0.686361100000795,None,0.4633333333333333,0.4456668000202626,return,0.04119640000863001,None,,,,0,0,0,0,0,0,0,0,1,0,1,0,52.69498219998786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.68006300000707,52.69498219998786,52.69498219998786,52.69498219998786,0.01422040001489222,52.69498219998786,53.14620409999043,53.14620409999043,53.20061860000715,0.4633333333333333,0.4456668000202626,return,0.04119640000863001,None,53.2008499999647,53.214034600008745,53.73007699998561,53.70060400001239,,,,,,,,,,,,,,,,,,,,,212124,001,2024-09-13_11h31.20.219,gradcptpy,2024.2.1post4,59.99646020983193,2024-09-13 11h31.25.256712 -0400,
2,0,2,space,0.686361100000795,None,0.39,0.6984453000477515,return,0.03617209999356419,None,,,,0,0,0,0,0,0,0,0,2,0,2,0,53.73007699998561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.710989799990784,53.73007699998561,53.73007699998561,53.73007699998561,0.010405000008177012,53.73007699998561,54.43077779997839,54.43077779997839,54.4704210999771,0.39,0.6984453000477515,return,0.03617209999356419,None,54.47065719997045,54.4833493999904,55.01485039998079,54.98508399998536,,,,,,,,,,,,,,,,,,,,,212124,001,2024-09-13_11h31.20.219,gradcptpy,2024.2.1post4,59.99646020983193,2024-09-13 11h31.25.256712 -0400,
3,0,3,space,0.686361100000795,None,0.455,0.9157102000317536,return,0.05139979999512434,None,,,,0,0,0,0,0,0,0,0,3,0,3,0,55.01485039998079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.99467119999463,55.01485039998079,55.01485039998079,55.01485039998079,0.009610000008251518,55.01485039998079,55.93517259997316,55.93517259997316,55.988504000008106,0.455,0.9157102000317536,return,0.05139979999512434,None,55.98874010000145,56.000677299976815,56.53230219997931,56.5032464999822,,,,,,,,,,,,,,,,,,,,,212124,001,2024-09-13_11h31.20.219,gradcptpy,2024.2.1post4,59.99646020983193,2024-09-13 11h31.25.256712 -0400,
4,0,4,space,0.686361100000795,None,0.28833333333333333,0.6656784999649972,return,0.04560519999358803,None,,,,0,0,0,0,0,0,0,0,4,0,4,0,56.53230219997931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.51284049998503,56.53230219997931,56.53230219997931,56.53230219997931,0.009615199989639223,56.53230219997931,57.20163490000414,57.20163490000414,57.25530409999192,0.28833333333333333,0.6656784999649972,return,0.04560519999358803,None,57.25554079998983,57.268519299977925,57.783774800016545,57.75476229999913,,,,,,,,,,,,,,,,,,,,,212124,001,2024-09-13_11h31.20.219,gradcptpy,2024.2.1post4,59.99646020983193,2024-09-13 11h31.25.256712 -0400,
5,0,5,space,0.686361100000795,None,0.5566666666666666,0.5136259000282735,return,0.0055874999961815774,None,,,,0,0,0,0,0,0,0,0,5,0,5,0,57.783774800016545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.76570250000805,57.783774800016545,57.783774800016545,57.783774800016545,0.010961199994198978,57.783774800016545,58.301324100000784,58.301324100000784,58.32280239998363,0.5566666666666666,0.5136259000282735,return,0.0055874999961815774,None,58.32305559999077,58.33473090000916,58.852194499981124,58.8240616999683,,,,,,,,,,,,,,,,,,,,,212124,001,2024-09-13_11h31.20.219,gradcptpy,2024.2.1post4,59.99646020983193,2024-09-13 11h31.25.256712 -0400,
0,0,0,space,0.686361100000795,None,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.83081449999008,58.852194499981124,63.827013099973556,,,,,,,,,,,,,,,,,,212124,001,2024-09-13_11h31.20.219,gradcptpy,2024.2.1post4,59.99646020983193,2024-09-13 11h31.25.256712 -0400,
