thisN,thisTrialN,thisRepN,block_start_key_resp.keys,block_start_key_resp.rt,block_start_key_resp.duration,es_gradcpt_slider.response,es_gradcpt_slider.rt,es_gradcpt_key_resp.keys,es_gradcpt_key_resp.rt,es_gradcpt_key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,block_rest_key_resp.keys,block_rest_key_resp.rt,block_rest_key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ES_loop.thisRepN,ES_loop.thisTrialN,ES_loop.thisN,ES_loop.thisIndex,thisRow.t,notes,estimate_frame_rate.started,frame_rate_prompt.started,estimate_frame_rate.stopped,welcome.started,welcome_key_resp.started,welcome_text.started,welcome.stopped,welcome_key_resp.keys,welcome_key_resp.rt,welcome_key_resp.duration,gradcpt_prep.started,gradcpt_prep_text.started,key_resp.started,gradcpt_prep.stopped,key_resp.keys,key_resp.rt,key_resp.duration,block_start.started,black_start_text.started,block_start_key_resp.started,block_start.stopped,blocks.block_start_key_resp.keys,blocks.block_start_key_resp.rt,blocks.block_start_key_resp.duration,gradcpt_stim.started,gradcpt_image.started,gradcpt_stim.stopped,ES_gradcpt.started,es_text_component_gradcpt.started,es_gradcpt_slider.started,low_anchor_gradcpt.started,es_gradcpt_mouse.started,high_anchor_gradcpt.started,es_gradcpt_key_resp.started,enter_advance_gradcpt.started,ES_gradcpt.stopped,ES_loop.es_gradcpt_slider.response,ES_loop.es_gradcpt_slider.rt,ES_loop.es_gradcpt_key_resp.keys,ES_loop.es_gradcpt_key_resp.rt,ES_loop.es_gradcpt_key_resp.duration,ES_isi_gradcpt.started,es_gradcpt_isi_text.started,es_gradcpt_isi_text.stopped,ES_isi_gradcpt.stopped,prepare_trial.started,prepare_text.started,prepare_trial.stopped,block_rest.started,block_rest_text.started,block_rest_key_resp.started,block_rest.stopped,blocks.block_rest_key_resp.keys,blocks.block_rest_key_resp.rt,blocks.block_rest_key_resp.duration,prepare_block.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016999299987219274,0.031182499951682985,5.003789099981077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440592,001,2024-09-13_11h22.41.257,gradcptpy,2024.2.1post4,59.94301817964094,2024-09-13 11h22.47.268702 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.004053599957842,5.016875399975106,5.016875399975106,7.544186899962369,space,2.5131345000118017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440592,001,2024-09-13_11h22.41.257,gradcptpy,2024.2.1post4,59.94301817964094,2024-09-13 11h22.47.268702 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5747552999528125,7.58589829999255,7.58589829999255,8.157902199949604,space,0.5640763000119478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440592,001,2024-09-13_11h22.41.257,gradcptpy,2024.2.1post4,59.94301817964094,2024-09-13 11h22.47.268702 -0400,
0,0,0,space,1.0832291000406258,None,0.5233333333333333,2.5971723000402562,return,0.42669130000285804,None,0,0,0,0,,,,0,0,0,0,0,0,0,0,46.16040769999381,,,,,,,,,,,,,,,,,,,8.170458799984772,8.186527899990324,8.186527899990324,9.275620899978094,space,1.0832291000406258,None,9.318747299956158,9.338189099973533,46.126903199998196,46.14513449999504,46.16040769999381,46.16040769999381,46.16040769999381,0.018257300020195544,46.16040769999381,48.76384639996104,48.76384639996104,49.201956199947745,0.5233333333333333,2.5971723000402562,return,0.42669130000285804,None,49.20217679999769,49.214268999989145,49.7310086999787,49.70180949999485,,,,,,,,,,,,440592,001,2024-09-13_11h22.41.257,gradcptpy,2024.2.1post4,59.94301817964094,2024-09-13 11h22.47.268702 -0400,
1,0,1,space,1.0832291000406258,None,0.47833333333333333,0.44630760001018643,return,0.028681700001470745,None,0,0,0,0,,,,0,0,0,0,1,0,1,0,49.7310086999787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.71397269994486,49.7310086999787,49.7310086999787,49.7310086999787,0.012185500003397465,49.7310086999787,50.18186849995982,50.18186849995982,50.21954379999079,0.47833333333333333,0.44630760001018643,return,0.028681700001470745,None,50.21974679996492,50.231994699977804,50.74861669994425,50.72016209998401,,,,,,,,,,,,440592,001,2024-09-13_11h22.41.257,gradcptpy,2024.2.1post4,59.94301817964094,2024-09-13 11h22.47.268702 -0400,
2,0,2,space,1.0832291000406258,None,0.5433333333333333,0.7967511999886483,return,0.0005664999480359256,None,0,0,0,0,,,,0,0,0,0,2,0,2,0,50.74861669994425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.729696099995635,50.74861669994425,50.74861669994425,50.74861669994425,0.009558099962305278,50.74861669994425,51.5499853999936,51.5499853999936,51.55487469997024,0.5433333333333333,0.7967511999886483,return,0.0005664999480359256,None,51.55510319996392,51.566818699997384,52.08341119997203,52.05409089999739,,,,,,,,,,,,440592,001,2024-09-13_11h22.41.257,gradcptpy,2024.2.1post4,59.94301817964094,2024-09-13 11h22.47.268702 -0400,
3,0,3,space,1.0832291000406258,None,0.5516666666666666,0.6645377999520861,return,None,None,0,0,0,0,,,,0,0,0,0,3,0,3,0,52.08341119997203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.064418599999044,52.08341119997203,52.08341119997203,52.08341119997203,0.010345300019253045,52.08341119997203,52.75141299999086,52.75141299999086,52.80577739997534,0.5516666666666666,0.6645377999520861,return,None,None,52.80598759994609,52.818000599974766,53.33474809996551,53.30579499999294,,,,,,,,,,,,440592,001,2024-09-13_11h22.41.257,gradcptpy,2024.2.1post4,59.94301817964094,2024-09-13 11h22.47.268702 -0400,
4,0,4,space,1.0832291000406258,None,0.29500000000000004,0.5309093000250868,return,0.3609779999824241,None,0,0,0,0,,,,0,0,0,0,4,0,4,0,53.33474809996551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.31469639996067,53.33474809996551,53.33474809996551,53.33474809996551,0.008915400016121566,53.33474809996551,53.86916499998188,53.86916499998188,54.24076969997259,0.29500000000000004,0.5309093000250868,return,0.3609779999824241,None,54.2409724999452,54.25286839995533,54.76960329996655,54.74072189995786,,,,,,,,,,,,440592,001,2024-09-13_11h22.41.257,gradcptpy,2024.2.1post4,59.94301817964094,2024-09-13 11h22.47.268702 -0400,
5,0,5,space,1.0832291000406258,None,0.66,0.529701900028158,return,0.005191300006117672,None,0,0,0,0,,,,0,0,0,0,5,0,5,0,54.76960329996655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.751289599982556,54.76960329996655,54.76960329996655,54.76960329996655,0.010583499970380217,54.76960329996655,55.30500489997212,55.30500489997212,55.32570519996807,0.66,0.529701900028158,return,0.005191300006117672,None,55.32596559997182,55.33767449995503,55.854037899989635,55.82497339998372,,,,,,,,,,,,440592,001,2024-09-13_11h22.41.257,gradcptpy,2024.2.1post4,59.94301817964094,2024-09-13 11h22.47.268702 -0400,
0,0,0,space,1.0832291000406258,None,,,,,,0,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.83169619995169,55.854037899989635,60.829995599982794,,,,,,,,,440592,001,2024-09-13_11h22.41.257,gradcptpy,2024.2.1post4,59.94301817964094,2024-09-13 11h22.47.268702 -0400,
