thisN,thisTrialN,thisRepN,block_start_key_resp.keys,block_start_key_resp.rt,block_start_key_resp.duration,es_gradcpt_slider.response,es_gradcpt_slider.rt,es_gradcpt_key_resp.keys,es_gradcpt_key_resp.rt,es_gradcpt_key_resp.duration,block_rest_key_resp.keys,block_rest_key_resp.rt,block_rest_key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ES_loop.thisRepN,ES_loop.thisTrialN,ES_loop.thisN,ES_loop.thisIndex,thisRow.t,notes,estimate_frame_rate.started,frame_rate_prompt.started,estimate_frame_rate.stopped,welcome.started,welcome_key_resp.started,welcome_text.started,welcome.stopped,welcome_key_resp.keys,welcome_key_resp.rt,welcome_key_resp.duration,gradcpt_prep.started,gradcpt_prep_text.started,key_resp.started,gradcpt_prep.stopped,key_resp.keys,key_resp.rt,key_resp.duration,block_start.started,black_start_text.started,block_start_key_resp.started,block_start.stopped,blocks.block_start_key_resp.keys,blocks.block_start_key_resp.rt,blocks.block_start_key_resp.duration,gradcpt_stim.started,gradcpt_image.started,gradcpt_stim.stopped,ES_gradcpt.started,es_text_component_gradcpt.started,es_gradcpt_slider.started,low_anchor_gradcpt.started,es_gradcpt_mouse.started,high_anchor_gradcpt.started,es_gradcpt_key_resp.started,enter_advance_gradcpt.started,ES_gradcpt.stopped,ES_loop.es_gradcpt_slider.response,ES_loop.es_gradcpt_slider.rt,ES_loop.es_gradcpt_key_resp.keys,ES_loop.es_gradcpt_key_resp.rt,ES_loop.es_gradcpt_key_resp.duration,ES_isi_gradcpt.started,es_gradcpt_isi_text.started,es_gradcpt_isi_text.stopped,ES_isi_gradcpt.stopped,prepare_trial.started,prepare_text.started,prepare_trial.stopped,block_rest.started,block_rest_text.started,block_rest_key_resp.started,block_rest.stopped,blocks.block_rest_key_resp.keys,blocks.block_rest_key_resp.rt,blocks.block_rest_key_resp.duration,prepare_block.started,prepare_block_text.started,prepare_block.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017848400049842894,0.03210350003791973,5.003844799997751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835160,001,2024-09-13_11h25.45.961,gradcptpy,2024.2.1post4,59.80714587799615,2024-09-13 11h25.51.782844 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.004112499998882,5.017189000034705,5.017189000034705,6.276086000027135,space,1.2428959000390023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835160,001,2024-09-13_11h25.45.961,gradcptpy,2024.2.1post4,59.80714587799615,2024-09-13 11h25.51.782844 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.305905700020958,6.318062300037127,6.318062300037127,6.873238200030755,space,0.5425046000164002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835160,001,2024-09-13_11h25.45.961,gradcptpy,2024.2.1post4,59.80714587799615,2024-09-13 11h25.51.782844 -0400,
0,0,0,space,0.4784886999987066,None,0.5216666666666667,2.017436299996916,return,0.49684109998634085,None,,,,0,0,0,0,0,0,0,0,0,0,0,0,42.62349120003637,,,,,,,,,,,,,,,,,,,6.885707800043747,6.902034500031732,6.902034500031732,7.390399600029923,space,0.4784886999987066,None,7.428132200031541,7.436329700052738,42.58521990000736,42.602603400009684,42.62349120003637,42.62349120003637,42.62349120003637,0.01739870000164956,42.62349120003637,44.64289360004477,44.64289360004477,45.148275900050066,0.5216666666666667,2.017436299996916,return,0.49684109998634085,None,45.14850290003233,45.16027120000217,45.67680170002859,45.64774040004704,,,,,,,,,,,,,,835160,001,2024-09-13_11h25.45.961,gradcptpy,2024.2.1post4,59.80714587799615,2024-09-13 11h25.51.782844 -0400,
1,0,1,space,0.4784886999987066,None,0.2866666666666666,0.6128674999927171,return,0.2655799000058323,None,,,,0,0,0,0,0,0,0,0,1,0,1,0,45.67680170002859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.65895020001335,45.67680170002859,45.67680170002859,45.67680170002859,0.011234300036448985,45.67680170002859,46.294628000003286,46.294628000003286,46.566194400016684,0.2866666666666666,0.6128674999927171,return,0.2655799000058323,None,46.56641130003845,46.57830900000408,47.09499610000057,47.065765400009695,,,,,,,,,,,,,,835160,001,2024-09-13_11h25.45.961,gradcptpy,2024.2.1post4,59.80714587799615,2024-09-13 11h25.51.782844 -0400,
2,0,2,space,0.4784886999987066,None,0.7233333333333334,0.8815065000089817,return,0.1414913999615237,None,,,,0,0,0,0,0,0,0,0,2,0,2,0,47.09499610000057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.07511400000658,47.09499610000057,47.09499610000057,47.09499610000057,0.009361100033856928,47.09499610000057,47.979886000044644,47.979886000044644,48.134538000042085,0.7233333333333334,0.8815065000089817,return,0.1414913999615237,None,48.13475359999575,48.1466624000459,48.66334770002868,48.63406880002003,,,,,,,,,,,,,,835160,001,2024-09-13_11h25.45.961,gradcptpy,2024.2.1post4,59.80714587799615,2024-09-13 11h25.51.782844 -0400,
3,0,3,space,0.4784886999987066,None,0.3616666666666667,0.580672100011725,return,0.09283249999862164,None,,,,0,0,0,0,0,0,0,0,3,0,3,0,48.66334770002868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.64297310000984,48.66334770002868,48.66334770002868,48.66334770002868,0.008921600005123764,48.66334770002868,49.24783580005169,49.24783580005169,49.352484000031836,0.3616666666666667,0.580672100011725,return,0.09283249999862164,None,49.352707000041846,49.36460710002575,49.88145240000449,49.85238540003775,,,,,,,,,,,,,,835160,001,2024-09-13_11h25.45.961,gradcptpy,2024.2.1post4,59.80714587799615,2024-09-13 11h25.51.782844 -0400,
4,0,4,space,0.4784886999987066,None,0.45666666666666667,1.0477833999902941,return,0.06748989998595789,None,,,,0,0,0,0,0,0,0,0,4,0,4,0,49.88145240000449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.862948500027414,49.88145240000449,49.88145240000449,49.88145240000449,0.010585399984847754,49.88145240000449,50.93305470002815,50.93305470002815,51.0043937000446,0.45666666666666667,1.0477833999902941,return,0.06748989998595789,None,51.00460500002373,51.016379600041546,51.533082200039644,51.503845800005365,,,,,,,,,,,,,,835160,001,2024-09-13_11h25.45.961,gradcptpy,2024.2.1post4,59.80714587799615,2024-09-13 11h25.51.782844 -0400,
5,0,5,space,0.4784886999987066,None,0.26,1.063672999967821,return,0.19969770003808662,None,,,,0,0,0,0,0,0,0,0,5,0,5,0,51.533082200039644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.51475900004152,51.533082200039644,51.533082200039644,51.533082200039644,0.010931099997833371,51.533082200039644,52.60145770001691,52.60145770001691,52.80634589999681,0.26,1.063672999967821,return,0.19969770003808662,None,52.8065638000262,52.81833080004435,53.33490650000749,53.305963599996176,,,,,,,,,,,,,,835160,001,2024-09-13_11h25.45.961,gradcptpy,2024.2.1post4,59.80714587799615,2024-09-13 11h25.51.782844 -0400,
0,0,0,space,0.4784886999987066,None,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.31267010001466,53.33490650000749,58.310827300010715,,,,,,,,,,,835160,001,2024-09-13_11h25.45.961,gradcptpy,2024.2.1post4,59.80714587799615,2024-09-13 11h25.51.782844 -0400,
