thisN,thisTrialN,thisRepN,block_start_key_resp.keys,block_start_key_resp.rt,block_start_key_resp.duration,es_gradcpt_slider.response,es_gradcpt_slider.rt,es_gradcpt_key_resp.keys,es_gradcpt_key_resp.rt,es_gradcpt_key_resp.duration,block_rest_key_resp.keys,block_rest_key_resp.rt,block_rest_key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ES_loop.thisRepN,ES_loop.thisTrialN,ES_loop.thisN,ES_loop.thisIndex,thisRow.t,notes,estimate_frame_rate.started,frame_rate_prompt.started,estimate_frame_rate.stopped,welcome.started,welcome_key_resp.started,welcome_text.started,welcome.stopped,welcome_key_resp.keys,welcome_key_resp.rt,welcome_key_resp.duration,gradcpt_prep.started,gradcpt_prep_text.started,key_resp.started,gradcpt_prep.stopped,key_resp.keys,key_resp.rt,key_resp.duration,block_start.started,black_start_text.started,block_start_key_resp.started,block_start.stopped,blocks.block_start_key_resp.keys,blocks.block_start_key_resp.rt,blocks.block_start_key_resp.duration,gradcpt_stim.started,gradcpt_image.started,gradcpt_stim.stopped,ES_gradcpt.started,es_text_component_gradcpt.started,es_gradcpt_slider.started,low_anchor_gradcpt.started,es_gradcpt_mouse.started,high_anchor_gradcpt.started,es_gradcpt_key_resp.started,enter_advance_gradcpt.started,ES_gradcpt.stopped,ES_loop.es_gradcpt_slider.response,ES_loop.es_gradcpt_slider.rt,ES_loop.es_gradcpt_key_resp.keys,ES_loop.es_gradcpt_key_resp.rt,ES_loop.es_gradcpt_key_resp.duration,ES_isi_gradcpt.started,es_gradcpt_isi_text.started,es_gradcpt_isi_text.stopped,ES_isi_gradcpt.stopped,prepare.started,prepare_text.started,prepare.stopped,block_rest.started,block_rest_text.started,block_rest_key_resp.started,block_rest.stopped,blocks.block_rest_key_resp.keys,blocks.block_rest_key_resp.rt,blocks.block_rest_key_resp.duration,debrief.started,debrief_text.started,debrief_resp.started,debrief.stopped,debrief_resp.keys,debrief_resp.rt,debrief_resp.duration,Thanks.started,thanks_text.started,Thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018829400010872632,0.0322798999841325,5.005004699982237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939681,001,2024-09-13_11h13.05.442,gradcptpy,2024.2.1post4,59.92336998299895,2024-09-13 11h13.10.886159 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.005249099980574,5.018609600025229,5.018609600025229,5.6598335999879055,space,0.6257228999747895,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939681,001,2024-09-13_11h13.05.442,gradcptpy,2024.2.1post4,59.92336998299895,2024-09-13 11h13.10.886159 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6912930000107735,5.701945499982685,5.701945499982685,6.257365000026766,space,0.5423446000204422,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939681,001,2024-09-13_11h13.05.442,gradcptpy,2024.2.1post4,59.92336998299895,2024-09-13 11h13.10.886159 -0400,
0,0,0,space,1.7386480999994092,None,0.63,1.1674737999564968,return,0.348885599989444,None,,,,0,0,0,0,0,0,0,0,0,0,0,0,39.187828099995386,,,,,,,,,,,,,,,,,,,6.2701636999845505,6.286069000023417,6.286069000023417,8.027415000018664,space,1.7386480999994092,None,8.076218499976676,8.088364200026263,39.149621599994134,39.16617739998037,39.187828099995386,39.187828099995386,39.187828099995386,0.01657039998099208,39.187828099995386,40.35636209999211,40.35636209999211,40.71126319997711,0.63,1.1674737999564968,return,0.348885599989444,None,40.71147649997147,40.72354079998331,41.24011660000542,41.210974999994505,,,,,,,,,,,,,,,,,,,,,939681,001,2024-09-13_11h13.05.442,gradcptpy,2024.2.1post4,59.92336998299895,2024-09-13 11h13.10.886159 -0400,
1,0,1,space,1.7386480999994092,None,0.42666666666666664,0.44655460002832115,return,0.45423070003744215,None,,,,0,0,0,0,0,0,0,0,1,0,1,0,41.24011660000542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.222491699969396,41.24011660000542,41.24011660000542,41.24011660000542,0.011543699947651476,41.24011660000542,41.691074099973775,41.691074099973775,42.16249939997215,0.42666666666666664,0.44655460002832115,return,0.45423070003744215,None,42.162730299984105,42.175128899980336,42.691621500009205,42.662310099985916,,,,,,,,,,,,,,,,,,,,,939681,001,2024-09-13_11h13.05.442,gradcptpy,2024.2.1post4,59.92336998299895,2024-09-13 11h13.10.886159 -0400,
2,0,2,space,1.7386480999994092,None,0.7066666666666667,0.4971446999697946,return,0.3322275999817066,None,,,,0,0,0,0,0,0,0,0,2,0,2,0,42.691621500009205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.67120189999696,42.691621500009205,42.691621500009205,42.691621500009205,0.008907800016459078,42.691621500009205,43.192732999974396,43.192732999974396,43.53083419997711,0.7066666666666667,0.4971446999697946,return,0.3322275999817066,None,43.53104620001977,43.5430223000003,44.05968840001151,44.03064920002362,,,,,,,,,,,,,,,,,,,,,939681,001,2024-09-13_11h13.05.442,gradcptpy,2024.2.1post4,59.92336998299895,2024-09-13 11h13.10.886159 -0400,
3,0,3,space,1.7386480999994092,None,0.5466666666666666,0.4971965000149794,return,0.3448445000103675,None,,,,0,0,0,0,0,0,0,0,3,0,3,0,44.05968840001151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0401374999783,44.05968840001151,44.05968840001151,44.05968840001151,0.009505900030490011,44.05968840001151,44.56080959999235,44.56080959999235,44.915894699981436,0.5466666666666666,0.4971965000149794,return,0.3448445000103675,None,44.91612880001776,44.92798540001968,45.44453929999145,45.41529440000886,,,,,,,,,,,,,,,,,,,,,939681,001,2024-09-13_11h13.05.442,gradcptpy,2024.2.1post4,59.92336998299895,2024-09-13 11h13.10.886159 -0400,
4,0,4,space,1.7386480999994092,None,0.46166666666666667,0.5477219999884255,return,0.349675000004936,None,,,,0,0,0,0,0,0,0,0,4,0,4,0,45.44453929999145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4249439999694,45.44453929999145,45.44453929999145,45.44453929999145,0.009672699961811304,45.44453929999145,45.99568440002622,45.99568440002622,46.350709999969695,0.46166666666666667,0.5477219999884255,return,0.349675000004936,None,46.35093750001397,46.36255229997914,46.879479600000195,46.85033360001398,,,,,,,,,,,,,,,,,,,,,939681,001,2024-09-13_11h13.05.442,gradcptpy,2024.2.1post4,59.92336998299895,2024-09-13 11h13.10.886159 -0400,
5,0,5,space,1.7386480999994092,None,0.6166666666666667,0.4965342999785207,return,0.32437029998982325,None,,,,0,0,0,0,0,0,0,0,5,0,5,0,46.879479600000195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.86068049998721,46.879479600000195,46.879479600000195,46.879479600000195,0.010364699992351234,46.879479600000195,47.38058649998857,47.38058649998857,47.719176699989475,0.6166666666666667,0.4965342999785207,return,0.32437029998982325,None,47.719425500021316,47.73099740000907,48.24755859997822,48.21851909998804,,,,,,,,,,,,,,,,,,,,,939681,001,2024-09-13_11h13.05.442,gradcptpy,2024.2.1post4,59.92336998299895,2024-09-13 11h13.10.886159 -0400,
0,0,0,space,1.7386480999994092,None,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.22604809998302,48.24755859997822,53.22351039998466,,,,,,,,,,,,,,,,,,939681,001,2024-09-13_11h13.05.442,gradcptpy,2024.2.1post4,59.92336998299895,2024-09-13 11h13.10.886159 -0400,
