thisN,thisTrialN,thisRepN,block_start_key_resp.keys,block_start_key_resp.rt,block_start_key_resp.duration,es_gradcpt_slider.response,es_gradcpt_slider.rt,es_gradcpt_key_resp.keys,es_gradcpt_key_resp.rt,es_gradcpt_key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ES_loop.thisRepN,ES_loop.thisTrialN,ES_loop.thisN,ES_loop.thisIndex,thisRow.t,notes,estimate_frame_rate.started,frame_rate_prompt.started,estimate_frame_rate.stopped,welcome.started,welcome_key_resp.started,welcome_text.started,welcome.stopped,welcome_key_resp.keys,welcome_key_resp.rt,welcome_key_resp.duration,gradcpt_prep.started,gradcpt_prep_text.started,key_resp.started,gradcpt_prep.stopped,key_resp.keys,key_resp.rt,key_resp.duration,block_start.started,black_start_text.started,block_start_key_resp.started,block_start.stopped,blocks.block_start_key_resp.keys,blocks.block_start_key_resp.rt,blocks.block_start_key_resp.duration,prepare_block.started,prepare_block_text.started,prepare_block.stopped,gradcpt_stim.started,gradcpt_image.started,gradcpt_stim.stopped,ES_gradcpt.started,es_text_component_gradcpt.started,es_gradcpt_slider.started,low_anchor_gradcpt.started,es_gradcpt_mouse.started,high_anchor_gradcpt.started,es_gradcpt_key_resp.started,enter_advance_gradcpt.started,ES_gradcpt.stopped,ES_loop.es_gradcpt_slider.response,ES_loop.es_gradcpt_slider.rt,ES_loop.es_gradcpt_key_resp.keys,ES_loop.es_gradcpt_key_resp.rt,ES_loop.es_gradcpt_key_resp.duration,ES_isi_gradcpt.started,es_gradcpt_isi_text.started,es_gradcpt_isi_text.stopped,ES_isi_gradcpt.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.01116689998889342,0.02423909999197349,5.0162200999911875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953373,001,2024-09-13_11h28.47.053,gradcptpy,2024.2.1post4,59.45034589763638,2024-09-13 11h28.56.262221 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.016521300014574,5.027639099978842,5.027639099978842,6.570470899983775,space,1.528324100014288,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953373,001,2024-09-13_11h28.47.053,gradcptpy,2024.2.1post4,59.45034589763638,2024-09-13 11h28.56.262221 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.600318800017703,6.6121189999976195,6.6121189999976195,13.707226000027731,space,7.08410710003227,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953373,001,2024-09-13_11h28.47.053,gradcptpy,2024.2.1post4,59.45034589763638,2024-09-13 11h28.56.262221 -0400,
0,0,0,space,2.120046900003217,None,0.595,3.0523555999970995,return,0.3396414999733679,None,0,0,0,0,0,0,0,0,0,0,0,0,54.46311820001574,,,,,,,,,,,,,,,,,,,13.7255395000102,13.736222399980761,13.736222399980761,15.859513800009154,space,2.120046900003217,None,15.896124700026121,15.921899500011932,20.897286300023552,20.89860429998953,20.91147120000096,54.425921600020956,54.44360960001359,54.46311820001574,54.46311820001574,54.46311820001574,0.017712300003040582,54.46311820001574,57.516930099984165,57.516930099984165,57.87157469999511,0.595,3.0523555999970995,return,0.3396414999733679,None,57.87180620001163,57.883939900028054,58.40061609999975,58.37175380002009,953373,001,2024-09-13_11h28.47.053,gradcptpy,2024.2.1post4,59.45034589763638,2024-09-13 11h28.56.262221 -0400,
1,0,1,space,2.120046900003217,None,0.44666666666666666,0.5622251000022516,return,0.048463999992236495,None,0,0,0,0,0,0,0,0,1,0,1,0,58.40061609999975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.38483070000075,58.40061609999975,58.40061609999975,58.40061609999975,0.013105700025334954,58.40061609999975,58.96844690002035,58.96844690002035,59.02300590003142,0.44666666666666666,0.5622251000022516,return,0.048463999992236495,None,59.02321449998999,59.035068100027274,59.5517934000236,59.523479900031816,953373,001,2024-09-13_11h28.47.053,gradcptpy,2024.2.1post4,59.45034589763638,2024-09-13 11h28.56.262221 -0400,
2,0,2,space,2.120046900003217,None,0.655,0.4787027999991551,return,0.020876499998848885,None,0,0,0,0,0,0,0,0,2,0,2,0,59.5517934000236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.53368990001036,59.5517934000236,59.5517934000236,59.5517934000236,0.010224300029221922,59.5517934000236,60.03615150001133,60.03615150001133,60.073986100032926,0.655,0.4787027999991551,return,0.020876499998848885,None,60.07420440000715,60.08615500002634,60.60300170001574,60.57467569998698,953373,001,2024-09-13_11h28.47.053,gradcptpy,2024.2.1post4,59.45034589763638,2024-09-13 11h28.56.262221 -0400,
3,0,3,space,2.120046900003217,None,0.38,0.4785103999893181,return,0.029594499967060983,None,0,0,0,0,0,0,0,0,3,0,3,0,60.60300170001574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.58467670000391,60.60300170001574,60.60300170001574,60.60300170001574,0.010020699992310256,60.60300170001574,61.08732570003485,61.08732570003485,61.125040300015826,0.38,0.4785103999893181,return,0.029594499967060983,None,61.12525700003607,61.13731989997905,61.6540837000357,61.62501469999552,953373,001,2024-09-13_11h28.47.053,gradcptpy,2024.2.1post4,59.45034589763638,2024-09-13 11h28.56.262221 -0400,
4,0,4,space,2.120046900003217,None,0.56,0.44680609996430576,return,0.051611200033221394,None,0,0,0,0,0,0,0,0,4,0,4,0,61.6540837000357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.63441460003378,61.6540837000357,61.6540837000357,61.6540837000357,0.009416099986992776,61.6540837000357,62.10498489998281,62.10498489998281,62.1593617000035,0.56,0.44680609996430576,return,0.051611200033221394,None,62.159588299982715,62.17185350001091,62.68847890000325,62.65914120001253,953373,001,2024-09-13_11h28.47.053,gradcptpy,2024.2.1post4,59.45034589763638,2024-09-13 11h28.56.262221 -0400,
5,0,5,space,2.120046900003217,None,0.5766666666666667,0.43044590001227334,return,0.03524019999895245,None,0,0,0,0,0,0,0,0,5,0,5,0,62.68847890000325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.66931959998328,62.68847890000325,62.68847890000325,62.68847890000325,0.01019639999140054,62.68847890000325,63.12271540000802,63.12271540000802,63.16032120003365,0.5766666666666667,0.43044590001227334,return,0.03524019999895245,None,63.160537699994165,63.17287980002584,63.67381350003416,63.660498499986716,953373,001,2024-09-13_11h28.47.053,gradcptpy,2024.2.1post4,59.45034589763638,2024-09-13 11h28.56.262221 -0400,
0,0,0,space,2.120046900003217,None,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953373,001,2024-09-13_11h28.47.053,gradcptpy,2024.2.1post4,59.45034589763638,2024-09-13 11h28.56.262221 -0400,
