"subject","dom_key","nondom_key","trial","transition_step","condition","total_runtime_mins","frame_count","coherence","resp_key","rt","accuracy"
212124,"j","f",1,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",2,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",3,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",4,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",5,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",6,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",7,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",8,48,"nondom",NA,NA,NA,NA,NA,1
212124,"j","f",9,48,"nondom",NA,NA,NA,NA,NA,1
212124,"j","f",10,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",11,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",12,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",13,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",14,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",15,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",16,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",17,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",18,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",19,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",20,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",21,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",22,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",23,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",24,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",25,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",26,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",27,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",28,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",29,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",30,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",31,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",32,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",33,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",34,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",35,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",36,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",37,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",38,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",39,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",40,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",41,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",42,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",43,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",44,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",45,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",46,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",47,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",48,48,"nondom",NA,NA,NA,NA,NA,1
212124,"j","f",49,48,"nondom",NA,NA,NA,NA,NA,1
212124,"j","f",50,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",51,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",52,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",53,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",54,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",55,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",56,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",57,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",58,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",59,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",60,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",61,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",62,48,"nondom",NA,NA,NA,NA,NA,1
212124,"j","f",63,48,"nondom",NA,NA,NA,NA,NA,1
212124,"j","f",64,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",65,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",66,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",67,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",68,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",69,48,"nondom",NA,NA,NA,NA,NA,1
212124,"j","f",70,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",71,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",72,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",73,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",74,48,"nondom",NA,NA,NA,NA,NA,1
212124,"j","f",75,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",76,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",77,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",78,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",79,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",80,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",1,48,"nondom",NA,NA,NA,NA,NA,1
212124,"j","f",2,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",3,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",4,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",5,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",6,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",7,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",8,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",9,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",10,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",11,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",12,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",13,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",14,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",15,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",16,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",17,48,"nondom",NA,NA,NA,NA,NA,1
212124,"j","f",18,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",19,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",20,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",21,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",22,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",23,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",24,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",25,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",26,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",27,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",28,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",29,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",30,48,"nondom",NA,NA,NA,NA,NA,1
212124,"j","f",31,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",32,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",33,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",34,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",35,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",36,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",37,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",38,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",39,48,"dom",NA,NA,NA,NA,NA,0
212124,"j","f",40,48,"nondom",NA,NA,NA,NA,NA,1
